id_avis,date,source,produit,texte,texte_clean,texte_final,sentiment,note,langue
AV0020,2026-07-16,email,SmartPhone X,Je viens de recevoir le produit à voir dans le temps,Je viens de recevoir le produit à voir dans le temps,je venir de recevoir le produit à voir dans le temps,neutre,4,fr
AV0021,2026-07-04,email,Tablette TabPlus,Excellent rapport qualité prix,Excellent rapport qualité prix,excellent rapport qualité prix,positif,5,fr
AV0022,2026-08-04,réseaux_sociaux,Tablette TabPlus,Le produit correspond globalement à la description,Le produit correspond globalement à la description,le produit correspondre globalement à le description,neutre,4,fr
AV0023,2026-07-19,réseaux_sociaux,SmartPhone X,Livraison rapide et produit conforme à mes attentes,Livraison rapide et produit conforme à mes attentes,livraison rapide et produire conforme à mon attente,positif,5,fr
AV0024,2026-08-26,email,SmartWatch Pro,PRODUIT EXCELLENT JE SUIS TRÈS SATISFAIT,PRODUIT EXCELLENT JE SUIS TRÈS SATISFAIT,produit excellent je être très satisfait,positif,5,fr
AV0025,2026-01-22,sav,SmartPhone X,TRÈS SATISFAIT DE MON ACHAT,TRÈS SATISFAIT DE MON ACHAT,très satisfait de mon achat,positif,5,fr
AV0026,2026-06-18,sav,Tablette TabPlus,Produit reçu endommagé je suis mécontent,Produit reçu endommagé je suis mécontent,produit recevoir endommager je être mécontent,negatif,2,fr
AV0027,2026-07-13,mobile,Ordinateur NovaBook,Je recommande vivement tout fonctionne parfaitement,Je recommande vivement tout fonctionne parfaitement,je recommander vivement tout fonctionner parfaitement,positif,5,fr
AV0029,2026-02-28,réseaux_sociaux,SmartPhone Y,Produit excellent je suis trèèès satisfait,Produit excellent je suis trèèès satisfait,produit excellent je être trèèès satisfait,positif,5,fr
AV0030,2026-08-20,web,SmartWatch Pro,JE RECOMMANDE VIVEMENT TOUT FONCTIONNE PARFAITEMENT,JE RECOMMANDE VIVEMENT TOUT FONCTIONNE PARFAITEMENT,je recommander vivement tout fonctionner parfaitement,positif,4,fr
AV0031,2026-02-24,réseaux_sociaux,SmartPhone Y,Très bonne expérience simple et efficace,Très bonne expérience simple et efficace,très bon expérience simple et efficace,positif,5,fr
AV0032,2026-03-04,sav,Écouteurs AirSound,Je viens de recevoir le produit à voir dans le temps,Je viens de recevoir le produit à voir dans le temps,je venir de recevoir le produit à voir dans le temps,neutre,4,fr
AV0033,2026-04-19,sav,Écouteurs AirSound,client Service client réactif et commande reçue rapidement,client Service client réactif et commande reçue rapidement,client service client réactif et commande recevoir rapidement,positif,4,fr
AV0034,2026-04-14,email,SmartPhone X,La batterie se décharge beaucoup trop vite,La batterie se décharge beaucoup trop vite,le batterie se décharge beaucoup trop vite,negatif,1,fr
AV0035,2026-02-05,sav,SmartPhone Y,Produit parfait rien à signaler,Produit parfait rien à signaler,produit parfaire rien à signaler,positif,5,fr
AV0036,2026-07-26,réseaux_sociaux,SmartPhone X,Très bon produit la qualité est au rendez vous,Très bon produit la qualité est au rendez vous,très bon produit le qualité être au rendez vous,positif,5,fr
AV0037,2026-02-12,sav,Écouteurs AirSound,Très bon produit la qualité est au rendez vous,Très bon produit la qualité est au rendez vous,très bon produit le qualité être au rendez vous,positif,4,fr
AV0039,2026-06-28,réseaux_sociaux,Ordinateur NovaBook,Très bonne expérience simple et efficace avis,Très bonne expérience simple et efficace avis,très bon expérience simple et efficace avis,positif,5,fr
AV0040,2026-02-25,web,Tablette TabPlus,La livraison s est déroulée normalement,La livraison s est déroulée normalement,le livraison s être dérouler normalement,neutre,3,fr
AV0041,2026-01-15,web,Tablette TabPlus,client La qualité est correcte sans être exceptionnelle,client La qualité est correcte sans être exceptionnelle,client le qualité être correct sans être exceptionnelle,neutre,3,fr
AV0045,2026-03-03,email,Écouteurs AirSound,client Je recommande vivement tout fonctionne parfaitement,client Je recommande vivement tout fonctionne parfaitement,client je recommander vivement tout fonctionner parfaitement,positif,5,fr
AV0046,2026-08-26,web,SmartPhone X,client Excellent rapport qualité prix,client Excellent rapport qualité prix,client excellent rapport qualité prix,positif,5,fr
AV0049,2026-01-03,réseaux_sociaux,SmartWatch Pro,Très satisfait de mon achat,Très satisfait de mon achat,très satisfait de mon achat,positif,5,fr
AV0050,2026-01-30,web,Ordinateur NovaBook,Produit reçu endommagé je suis mécontent,Produit reçu endommagé je suis mécontent,produit recevoir endommager je être mécontent,negatif,1,fr
AV0052,2026-03-06,web,SmartPhone X,Je viens de recevoir le produit à voir dans le temps,Je viens de recevoir le produit à voir dans le temps,je venir de recevoir le produit à voir dans le temps,neutre,3,fr
AV0053,2026-03-27,mobile,Ordinateur NovaBook,Produit excellent je suis très satisfait,Produit excellent je suis très satisfait,produit excellent je être très satisfait,positif,5,fr
AV0054,2026-06-30,sav,Tablette TabPlus,Qualité décevante pour ce prix,Qualité décevante pour ce prix,qualité décevant pour ce prix,negatif,1,fr
AV0057,2026-04-01,réseaux_sociaux,Écouteurs AirSound,LA LIVRAISON A ÉTÉ TRÈS LONGUE,LA LIVRAISON A ÉTÉ TRÈS LONGUE,le livraison avoir être très long,negatif,1,fr
AV0058,2026-08-10,mobile,SmartPhone Y,Produit reçu endommagé je suis mécontent,Produit reçu endommagé je suis mécontent,produit recevoir endommager je être mécontent,negatif,2,fr
AV0059,2026-07-20,sav,Ordinateur NovaBook,client Produit reçu endommagé je suis mécontent,client Produit reçu endommagé je suis mécontent,client produire recevoir endommager je être mécontent,negatif,1,fr
AV0060,2026-07-21,web,Écouteurs AirSound,Le produit ne fonctionne déjà plus,Le produit ne fonctionne déjà plus,le produit ne fonctionner déjà plus,negatif,1,fr
AV0061,2026-07-29,sav,SmartWatch Pro,La livraison a été très longue,La livraison a été très longue,le livraison avoir être très long,negatif,2,fr
AV0063,2026-06-14,réseaux_sociaux,Écouteurs AirSound,client Très bonne expérience simple et efficace,client Très bonne expérience simple et efficace,client très bon expérience simple et efficace,positif,4,fr
AV0064,2026-01-30,email,SmartPhone Y,Produit correct pour son prix,Produit correct pour son prix,produit correct pour son prix,neutre,4,fr
AV0066,2026-01-30,sav,Tablette TabPlus,L utilisation est assez simple,L utilisation est assez simple,l utilisation être assez simple,neutre,3,fr
AV0067,2026-05-14,réseaux_sociaux,Ordinateur NovaBook,Service client réactif et commande reçue rapidement,Service client réactif et commande reçue rapidement,service client réactif et commande recevoir rapidement,positif,4,fr
AV0068,2026-04-04,sav,SmartPhone X,La qualité est correcte sans être exceptionnelle,La qualité est correcte sans être exceptionnelle,le qualité être correct sans être exceptionnelle,neutre,4,fr
AV0069,2026-07-04,email,Tablette TabPlus,MAUVAISE EXPÉRIENCE JE NE RECOMMANDE PAS,MAUVAISE EXPÉRIENCE JE NE RECOMMANDE PAS,mauvais expérience je ne recommander pas,negatif,2,fr
AV0071,2026-06-07,réseaux_sociaux,SmartWatch Pro,Service client réactif et commande reçue rapidement,Service client réactif et commande reçue rapidement,service client réactif et commande recevoir rapidement,positif,5,fr
AV0072,2026-02-23,sav,Tablette TabPlus,Très bonne expérience simple et efficace,Très bonne expérience simple et efficace,très bon expérience simple et efficace,positif,4,fr
AV0073,2026-04-24,mobile,Tablette TabPlus,Excellent rapport qualité prix,Excellent rapport qualité prix,excellent rapport qualité prix,positif,5,fr
AV0074,2026-05-12,réseaux_sociaux,SmartWatch Pro,Très bon produit la qualité est au rendez vous,Très bon produit la qualité est au rendez vous,très bon produit le qualité être au rendez vous,positif,5,fr
AV0076,2026-04-27,sav,Ordinateur NovaBook,EXCELLENT RAPPORT QUALITÉ PRIX,EXCELLENT RAPPORT QUALITÉ PRIX,excellent rapport qualité prix,positif,5,fr
AV0077,2026-03-04,mobile,Ordinateur NovaBook,Excellent rapport qualité prix avis,Excellent rapport qualité prix avis,excellent rapport qualité prix avis,positif,5,fr
AV0078,2026-02-15,réseaux_sociaux,Écouteurs AirSound,L utilisation est assez simple,L utilisation est assez simple,l utilisation être assez simple,neutre,3,fr
AV0079,2026-02-04,sav,Ordinateur NovaBook,Très bon produit la qualité est au rendez vous,Très bon produit la qualité est au rendez vous,très bon produit le qualité être au rendez vous,positif,5,fr
AV0081,2026-03-08,mobile,Ordinateur NovaBook,Qualité décevante pour ce prix,Qualité décevante pour ce prix,qualité décevant pour ce prix,negatif,2,fr
AV0082,2026-04-23,web,Ordinateur NovaBook,Je recommande vivement tout fonctionne parfaitement,Je recommande vivement tout fonctionne parfaitement,je recommander vivement tout fonctionner parfaitement,positif,5,fr
AV0083,2026-08-17,réseaux_sociaux,SmartPhone X,client La batterie tient vraiment bien et l écran est superbe,client La batterie tient vraiment bien et l écran est superbe,client le batterie tenir vraiment bien et l écran être superbe,positif,5,fr
AV0085,2026-04-17,web,SmartPhone Y,Produit parfait rien à signaler,Produit parfait rien à signaler,produit parfaire rien à signaler,positif,5,fr
AV0086,2026-08-08,réseaux_sociaux,Écouteurs AirSound,Je viens de recevoir le produit à voir dans le temps,Je viens de recevoir le produit à voir dans le temps,je venir de recevoir le produit à voir dans le temps,neutre,3,fr
AV0088,2026-05-05,mobile,SmartWatch Pro,Je viens de recevoir le produit à voir dans le temps,Je viens de recevoir le produit à voir dans le temps,je venir de recevoir le produit à voir dans le temps,neutre,4,fr
AV0091,2026-02-04,sav,SmartPhone Y,Très bon produit la qualité est au rendez vous avis,Très bon produit la qualité est au rendez vous avis,très bon produit le qualité être au rendez vous avir,positif,4,fr
AV0092,2026-04-27,email,SmartWatch Pro,La batterie tient vraiment bien et l écran est superbe,La batterie tient vraiment bien et l écran est superbe,le batterie tenir vraiment bien et l écran être superbe,positif,5,fr
AV0095,2026-08-03,web,Tablette TabPlus,Je recommande vivement tout fonctionne parfaitement,Je recommande vivement tout fonctionne parfaitement,je recommander vivement tout fonctionner parfaitement,positif,4,fr
AV0097,2026-07-19,mobile,SmartWatch Pro,LA LIVRAISON S EST DÉROULÉE NORMALEMENT,LA LIVRAISON S EST DÉROULÉE NORMALEMENT,le livraison s être dérouler normalement,neutre,3,fr
AV0100,2026-05-17,sav,Ordinateur NovaBook,client Le produit correspond globalement à la description,client Le produit correspond globalement à la description,client le produit correspondre globalement à le description,neutre,4,fr
AV0101,2026-07-30,sav,SmartPhone X,Produit excellent je suis très satisfait avis,Produit excellent je suis très satisfait avis,produit excellent je être très satisfait avis,positif,5,fr
AV0102,2026-04-22,mobile,Ordinateur NovaBook,Excellent rapport qualité prix,Excellent rapport qualité prix,excellent rapport qualité prix,positif,5,fr
AV0105,2026-03-28,web,Écouteurs AirSound,Qualité décevante pour ce prix avis,Qualité décevante pour ce prix avis,qualité décevant pour ce prix avis,negatif,1,fr
AV0106,2026-04-01,email,SmartWatch Pro,Qualité décevante pour ce prix,Qualité décevante pour ce prix,qualité décevant pour ce prix,negatif,1,fr
AV0107,2026-05-13,mobile,SmartPhone X,Produit parfait rien à signaler,Produit parfait rien à signaler,produit parfaire rien à signaler,positif,5,fr
AV0111,2026-03-11,email,SmartWatch Pro,La batterie tient vraiment bien et l écran est superbe,La batterie tient vraiment bien et l écran est superbe,le batterie tenir vraiment bien et l écran être superbe,positif,5,fr
AV0113,2026-07-05,réseaux_sociaux,Tablette TabPlus,Excellent rapport qualité prix,Excellent rapport qualité prix,excellent rapport qualité prix,positif,5,fr
AV0115,2026-01-14,réseaux_sociaux,SmartWatch Pro,Très bonne expérience simple et efficace,Très bonne expérience simple et efficace,très bon expérience simple et efficace,positif,5,fr
AV0116,2026-01-27,web,Tablette TabPlus,La qualité est correcte sans être exceptionnelle,La qualité est correcte sans être exceptionnelle,le qualité être correct sans être exceptionnelle,neutre,3,fr
AV0118,2026-04-13,sav,SmartPhone X,LA BATTERIE SE DÉCHARGE BEAUCOUP TROP VITE,LA BATTERIE SE DÉCHARGE BEAUCOUP TROP VITE,le batterie se décharge beaucoup trop vite,negatif,2,fr
AV0119,2026-07-27,réseaux_sociaux,SmartWatch Pro,Livraison rapide et produit conforme à mes attentes,Livraison rapide et produit conforme à mes attentes,livraison rapide et produire conforme à mon attente,positif,4,fr
AV0120,2026-07-15,sav,Tablette TabPlus,Très bon produit la qualité est au rendez vous,Très bon produit la qualité est au rendez vous,très bon produit le qualité être au rendez vous,positif,5,fr
AV0121,2026-04-26,sav,SmartWatch Pro,Produit parfait rien à signaler avis,Produit parfait rien à signaler avis,produit parfaire rien à signaler avis,positif,5,fr
AV0123,2026-03-03,mobile,Tablette TabPlus,Très bon produit la qualité est au rendez vous,Très bon produit la qualité est au rendez vous,très bon produit le qualité être au rendez vous,positif,5,fr
AV0124,2026-06-26,réseaux_sociaux,Écouteurs AirSound,Service client réactif et commande reçue rapidement,Service client réactif et commande reçue rapidement,service client réactif et commande recevoir rapidement,positif,4,fr
AV0127,2026-01-19,web,SmartPhone Y,Très bonne expérience simple et efficace,Très bonne expérience simple et efficace,très bon expérience simple et efficace,positif,5,fr
AV0128,2026-04-23,web,Écouteurs AirSound,La qualité est correcte sans être exceptionnelle,La qualité est correcte sans être exceptionnelle,le qualité être correct sans être exceptionnelle,neutre,4,fr
AV0129,2026-05-09,réseaux_sociaux,Écouteurs AirSound,L utilisation est assez simple,L utilisation est assez simple,l utilisation être assez simple,neutre,4,fr
AV0133,2026-04-15,email,SmartWatch Pro,client L utilisation est assez simple,client L utilisation est assez simple,client l utilisation être assez simple,neutre,3,fr
AV0137,2026-02-18,réseaux_sociaux,SmartWatch Pro,Le service client n a pas répondu à ma demande,Le service client n a pas répondu à ma demande,le service client n avoir pas répondre à mon demande,negatif,2,fr
AV0139,2026-02-01,web,Ordinateur NovaBook,Excellent rapport qualité prix,Excellent rapport qualité prix,excellent rapport qualité prix,positif,5,fr
AV0140,2026-05-22,web,Tablette TabPlus,Livraison rapide et produit conforme à mes attentes,Livraison rapide et produit conforme à mes attentes,livraison rapide et produire conforme à mon attente,positif,5,fr
AV0141,2026-01-31,mobile,Écouteurs AirSound,Très bon produit la qualité est au rendez vous,Très bon produit la qualité est au rendez vous,très bon produit le qualité être au rendez vous,positif,5,fr
AV0142,2026-08-02,sav,Écouteurs AirSound,Le produit ne fonctionne déjà plus avis,Le produit ne fonctionne déjà plus avis,le produit ne fonctionner déjà plus avis,negatif,2,fr
AV0143,2026-08-24,réseaux_sociaux,Tablette TabPlus,Service client réactif et commande reçue rapidement,Service client réactif et commande reçue rapidement,service client réactif et commande recevoir rapidement,positif,5,fr
AV0146,2026-05-18,sav,SmartWatch Pro,Livraison rapide et produit conforme à mes attentes,Livraison rapide et produit conforme à mes attentes,livraison rapide et produire conforme à mon attente,positif,5,fr
AV0148,2026-01-12,email,Ordinateur NovaBook,Je recommande vivement tout fonctionne parfaitement avis,Je recommande vivement tout fonctionne parfaitement avis,je recommander vivement tout fonctionner parfaitement avi,positif,5,fr
AV0150,2026-01-26,réseaux_sociaux,Écouteurs AirSound,Très bon produit je recommande,Très bon produit je recommande,très bon produit je recommander,positif,5,fr
AV0152,2026-08-07,réseaux_sociaux,Écouteurs AirSound,client Très bon produit la qualité est au rendez vous,client Très bon produit la qualité est au rendez vous,client très bon produit le qualité être au rendez vous,positif,5,fr
AV0155,2026-06-27,email,SmartPhone X,L utilisation est assez simple,L utilisation est assez simple,l utilisation être assez simple,neutre,3,fr
AV0160,2026-04-24,email,Tablette TabPlus,PRODUIT REÇU ENDOMMAGÉ JE SUIS MÉCONTENT,PRODUIT REÇU ENDOMMAGÉ JE SUIS MÉCONTENT,produit recevoir endommager je être mécontent,negatif,2,fr
AV0161,2026-08-05,email,SmartPhone Y,Très bonne expérience simple et efficace,Très bonne expérience simple et efficace,très bon expérience simple et efficace,positif,5,fr
AV0162,2026-04-08,réseaux_sociaux,SmartWatch Pro,La batterie se décharge beaucoup trop vite,La batterie se décharge beaucoup trop vite,le batterie se décharge beaucoup trop vite,negatif,2,fr
AV0164,2026-08-02,email,SmartPhone Y,Très déçu par ce produit,Très déçu par ce produit,très déçu par ce produit,negatif,2,fr
AV0166,2026-06-10,web,Ordinateur NovaBook,La qualité est correcte sans être exceptionnelle,La qualité est correcte sans être exceptionnelle,le qualité être correct sans être exceptionnelle,neutre,4,fr
AV0171,2026-08-05,réseaux_sociaux,SmartWatch Pro,La livraison a été très longue avis,La livraison a été très longue avis,le livraison avoir être très long avis,negatif,1,fr
AV0172,2026-05-18,web,Écouteurs AirSound,Produit excellent je suis très satisfait,Produit excellent je suis très satisfait,produit excellent je être très satisfait,positif,5,fr
AV0174,2026-03-25,réseaux_sociaux,SmartPhone Y,Le produit correspond globalement à la description,Le produit correspond globalement à la description,le produit correspondre globalement à le description,neutre,3,fr
AV0176,2026-01-25,mobile,Tablette TabPlus,QUALITÉ DÉCEVANTE POUR CE PRIX,QUALITÉ DÉCEVANTE POUR CE PRIX,qualité décevant pour ce prix,negatif,2,fr
AV0177,2026-04-18,réseaux_sociaux,Ordinateur NovaBook,La batterie tient vraiment bien et l écran est superbe,La batterie tient vraiment bien et l écran est superbe,le batterie tenir vraiment bien et l écran être superbe,positif,5,fr
AV0178,2026-08-02,sav,Tablette TabPlus,LA QUALITÉ EST CORRECTE SANS ÊTRE EXCEPTIONNELLE,LA QUALITÉ EST CORRECTE SANS ÊTRE EXCEPTIONNELLE,le qualité être correct sans être exceptionnelle,neutre,3,fr
AV0179,2026-02-25,sav,Écouteurs AirSound,client Produit excellent je suis très satisfait,client Produit excellent je suis très satisfait,client produire excellent je être très satisfait,positif,5,fr
AV0180,2026-05-20,email,SmartPhone X,client La batterie se décharge beaucoup trop vite,client La batterie se décharge beaucoup trop vite,client le batterie se décharge beaucoup trop vite,negatif,2,fr
AV0181,2026-01-24,mobile,Ordinateur NovaBook,Très bon produit la qualité est au rendez vous,Très bon produit la qualité est au rendez vous,très bon produit le qualité être au rendez vous,positif,5,fr
AV0186,2026-01-05,mobile,SmartWatch Pro,client Je viens de recevoir le produit à voir dans le temps,client Je viens de recevoir le produit à voir dans le temps,client je venir de recevoir le produit à voir dans le temps,neutre,3,fr
AV0187,2026-07-10,web,Écouteurs AirSound,PRODUIT PARFAIT RIEN À SIGNALER,PRODUIT PARFAIT RIEN À SIGNALER,produit parfaire rien à signaler,positif,5,fr
AV0189,2026-06-14,web,SmartPhone X,Le produit ne fonctionne déjà plus,Le produit ne fonctionne déjà plus,le produit ne fonctionner déjà plus,negatif,1,fr
AV0190,2026-05-06,sav,SmartPhone X,LE SERVICE CLIENT N A PAS RÉPONDU À MA DEMANDE,LE SERVICE CLIENT N A PAS RÉPONDU À MA DEMANDE,le service client n avoir pas répondre à mon demande,negatif,2,fr
AV0200,2026-08-05,web,SmartWatch Pro,Excellent rapport qualité prix,Excellent rapport qualité prix,excellent rapport qualité prix,positif,5,fr
AV0203,2026-03-11,email,SmartWatch Pro,Le produit correspond globalement à la description,Le produit correspond globalement à la description,le produit correspondre globalement à le description,neutre,3,fr
AV0204,2026-01-18,mobile,Ordinateur NovaBook,Livraison rapide et produit conforme à mes attentes avis,Livraison rapide et produit conforme à mes attentes avis,livraison rapide et produire conforme à mon attente avis,positif,5,fr
AV0206,2026-07-04,email,Tablette TabPlus,La batterie tient vraiment bien et l écran est superbe,La batterie tient vraiment bien et l écran est superbe,le batterie tenir vraiment bien et l écran être superbe,positif,5,fr
AV0208,2026-05-05,réseaux_sociaux,Écouteurs AirSound,L utilisation est assez simple avis,L utilisation est assez simple avis,l utilisation être assez simple avis,neutre,3,fr
AV0210,2026-01-12,mobile,Écouteurs AirSound,Produit parfait rien à signaler,Produit parfait rien à signaler,produit parfaire rien à signaler,positif,5,fr
AV0211,2026-03-19,mobile,SmartPhone Y,Très déçu par ce produit,Très déçu par ce produit,très déçu par ce produit,negatif,1,fr
AV0212,2026-01-02,sav,Ordinateur NovaBook,PRODUIT CORRECT POUR SON PRIX,PRODUIT CORRECT POUR SON PRIX,produit correct pour son prix,neutre,3,fr
AV0219,2026-05-11,web,Tablette TabPlus,LIVRAISON RAPIDE ET PRODUIT CONFORME À MES ATTENTES,LIVRAISON RAPIDE ET PRODUIT CONFORME À MES ATTENTES,livraison rapide et produire conforme à mon attente,positif,5,fr
AV0220,2026-03-02,web,SmartPhone Y,La batterie tient vraiment bien et l écran est superbe,La batterie tient vraiment bien et l écran est superbe,le batterie tenir vraiment bien et l écran être superbe,positif,5,fr
AV0222,2026-07-13,réseaux_sociaux,Tablette TabPlus,Qualité décevante pour ce prix,Qualité décevante pour ce prix,qualité décevant pour ce prix,negatif,2,fr
AV0225,2026-04-05,email,SmartPhone X,OK,OK,ok,positif,5,fr
AV0229,2026-07-01,sav,Écouteurs AirSound,Produit excellent je suis très satisfait,Produit excellent je suis très satisfait,produit excellent je être très satisfait,positif,5,fr
AV0235,2026-01-24,sav,Tablette TabPlus,La qualité est correcte sans être exceptionnelle,La qualité est correcte sans être exceptionnelle,le qualité être correct sans être exceptionnelle,neutre,4,fr
AV0242,2026-04-29,email,Écouteurs AirSound,Mauvaise expérience je ne recommande pas,Mauvaise expérience je ne recommande pas,mauvais expérience je ne recommander pas,negatif,1,fr
AV0243,2026-07-25,réseaux_sociaux,SmartPhone Y,Livraison rapide et produit conforme à mes attentes,Livraison rapide et produit conforme à mes attentes,livraison rapide et produire conforme à mon attente,positif,5,fr
AV0244,2026-05-22,web,Ordinateur NovaBook,client Qualité décevante pour ce prix,client Qualité décevante pour ce prix,client qualité décevant pour ce prix,negatif,1,fr
AV0249,2026-02-05,web,SmartWatch Pro,Produit correct pour son prix,Produit correct pour son prix,produit correct pour son prix,neutre,4,fr
AV0250,2026-04-25,réseaux_sociaux,SmartPhone X,Produit reçu endommagé je suis mécontent,Produit reçu endommagé je suis mécontent,produit recevoir endommager je être mécontent,negatif,2,fr
AV0251,2026-08-02,mobile,Tablette TabPlus,Le produit ne fonctionne déjà plus,Le produit ne fonctionne déjà plus,le produit ne fonctionner déjà plus,negatif,1,fr
AV0257,2026-08-12,sav,SmartPhone X,Très déçu par ce produit avis,Très déçu par ce produit avis,très déçu par ce produit avi,negatif,2,fr
AV0259,2026-02-04,web,SmartWatch Pro,client Très satisfait de mon achat,client Très satisfait de mon achat,client très satisfait de mon achat,positif,4,fr
AV0260,2026-06-11,mobile,SmartPhone Y,Excellent rapport qualité prix,Excellent rapport qualité prix,excellent rapport qualité prix,positif,5,fr
AV0266,2026-07-06,sav,SmartPhone X,LE PRODUIT NE FONCTIONNE DÉJÀ PLUS,LE PRODUIT NE FONCTIONNE DÉJÀ PLUS,le produit ne fonctionner déjà plus,negatif,2,fr
AV0268,2026-06-04,sav,SmartPhone Y,Très bonne expérience simple et efficace,Très bonne expérience simple et efficace,très bon expérience simple et efficace,positif,5,fr
AV0270,2026-06-21,sav,SmartWatch Pro,TRÈS DÉÇU PAR CE PRODUIT,TRÈS DÉÇU PAR CE PRODUIT,très déçu par ce produit,negatif,2,fr
AV0280,2026-03-02,sav,SmartPhone X,Je recommande vivement tout fonctionne parfaitement,Je recommande vivement tout fonctionne parfaitement,je recommander vivement tout fonctionner parfaitement,positif,4,fr
AV0283,2026-04-30,réseaux_sociaux,SmartWatch Pro,Très bon produit la qualité est au rendez vous,Très bon produit la qualité est au rendez vous,très bon produit le qualité être au rendez vous,positif,5,fr
AV0289,2026-01-21,web,Ordinateur NovaBook,Très déçu par ce produit,Très déçu par ce produit,très déçu par ce produit,negatif,2,fr
AV0292,2026-01-19,web,SmartPhone Y,Très bonne expérience simple et efficace,Très bonne expérience simple et efficace,très bon expérience simple et efficace,positif,5,fr
AV0295,2026-02-01,email,Écouteurs AirSound,Je recommande vivement tout fonctionne parfaitement,Je recommande vivement tout fonctionne parfaitement,je recommander vivement tout fonctionner parfaitement,positif,5,fr
AV0298,2026-05-08,web,SmartPhone X,Qualité décevante pour ce prix,Qualité décevante pour ce prix,qualité décevant pour ce prix,negatif,2,fr
AV0300,2026-03-15,réseaux_sociaux,SmartPhone X,Excellent rapport qualité prix,Excellent rapport qualité prix,excellent rapport qualité prix,positif,5,fr
AV0303,2026-07-15,réseaux_sociaux,SmartWatch Pro,Produit parfait rien à signaler,Produit parfait rien à signaler,produit parfaire rien à signaler,positif,5,fr
AV0305,2026-07-13,mobile,SmartPhone Y,client Produit parfait rien à signaler,client Produit parfait rien à signaler,client produire parfaire rien à signaler,positif,5,fr
AV0307,2026-02-08,réseaux_sociaux,Tablette TabPlus,Je viens de recevoir le produit à voir dans le temps,Je viens de recevoir le produit à voir dans le temps,je venir de recevoir le produit à voir dans le temps,neutre,3,fr
AV0310,2026-07-23,web,Tablette TabPlus,Service client réactif et commande reçue rapidement,Service client réactif et commande reçue rapidement,service client réactif et commande recevoir rapidement,positif,4,fr
AV0312,2026-01-09,réseaux_sociaux,Ordinateur NovaBook,La livraison s est déroulée normalement,La livraison s est déroulée normalement,le livraison s être dérouler normalement,neutre,3,fr
AV0314,2026-08-12,web,Ordinateur NovaBook,Je viens de recevoir le produit à voir dans le temps,Je viens de recevoir le produit à voir dans le temps,je venir de recevoir le produit à voir dans le temps,neutre,3,fr
